,species,Function
ecol_Acetate,Eco,Carbon Metabolism
ecol_Acid Shock RNA,Eco,Acid Stress
ecol_ArcA,Eco,Energy Metabolism
ecol_arcA/luxS KO,Eco,Energy Metabolism
ecol_Arginine,Eco,Amino Acid Metabolism
ecol_baeR KO,Eco,Envelope Stress
ecol_BasR,Eco,Extracellular Structures
ecol_Biofilm,Eco,Extracellular Structures
ecol_Biotin,Eco,Cofactor Metabolism
ecol_BW25113,Eco,Strain Difference
ecol_Capsule,Eco,Extracellular Structures
ecol_CCK-PGI Del,Eco,Uncharacterized
ecol_Cellulose,Eco,Extracellular Structures
ecol_Cold Shock,Eco,Temperature Shock
ecol_Copper,Eco,Metal Homeostasis
ecol_CP4-44,Eco,Prophages
ecol_CpxR,Eco,Envelope Stress
ecol_Cra,Eco,Carbon Metabolism
ecol_crp KO-1,Eco,Carbon Metabolism
ecol_crp KO-2,Eco,Carbon Metabolism
ecol_Crp-1,Eco,Carbon Metabolism
ecol_Crp-2,Eco,Carbon Metabolism
ecol_Curli-1,Eco,Extracellular Structures
ecol_Curli-2,Eco,Extracellular Structures
ecol_cydB/appC KO,Eco,Energy Metabolism
ecol_cyoB/kdpE/qseB KO,Eco,Energy Metabolism
ecol_cyoB/ndh/nuoB KO-1,Eco,Energy Metabolism
ecol_cyoB/ndh/nuoB KO-2,Eco,Energy Metabolism
ecol_Cysteine-1,Eco,Amino Acid Metabolism
ecol_Cysteine-2,Eco,Amino Acid Metabolism
ecol_Cytochrome c,Eco,Energy Metabolism
ecol_DhaR,Eco,Carbon Metabolism
ecol_Dipeptide,Eco,Amino Acid Metabolism
ecol_DNA Damage,Eco,DNA Damage
ecol_e14 Del,Eco,Uncharacterized
ecol_efeU Activation,Eco,Metal Homeostasis
ecol_Efflux Pump,Eco,Resistance
ecol_entC/ubiC KO-1,Eco,Energy Metabolism
ecol_entC/ubiC KO-2,Eco,Energy Metabolism
ecol_EvgA,Eco,Envelope Stress
ecol_Fatty Acid,Eco,Carbon Metabolism
ecol_FDH-N/NRA,Eco,Energy Metabolism
ecol_FDH-O,Eco,Energy Metabolism
ecol_Ferric Citrate,Eco,Metal Homeostasis
ecol_FHL,Eco,Energy Metabolism
ecol_Fimbriae,Eco,Extracellular Structures
ecol_Flagella,Eco,Extracellular Structures
ecol_FlhDC-1,Eco,Extracellular Structures
ecol_FlhDC-2,Eco,Extracellular Structures
ecol_FliA,Eco,Extracellular Structures
ecol_Fnr-1,Eco,Energy Metabolism
ecol_Fnr-2,Eco,Energy Metabolism
ecol_Fnr-3,Eco,Energy Metabolism
ecol_FucR/AllR/AraC,Eco,Nitrogen Metabolism
ecol_FucR/ExuR,Eco,Carbon Metabolism
ecol_Fur-1,Eco,Metal Homeostasis
ecol_Fur-2,Eco,Metal Homeostasis
ecol_GadX,Eco,Envelope Stress
ecol_GadXW,Eco,Envelope Stress
ecol_Galactose,Eco,Carbon Metabolism
ecol_gcvB,Eco,Amino Acid Metabolism
ecol_GlcNAc,Eco,Carbon Metabolism
ecol_glrR KO,Eco,Envelope Stress
ecol_Gluconate,Eco,Carbon Metabolism
ecol_Glutamine,Eco,Nitrogen Metabolism
ecol_Glutarate,Eco,Carbon Metabolism
ecol_Glycerol,Eco,Carbon Metabolism
ecol_Glycine,Eco,Amino Acid Metabolism
ecol_Glycolate,Eco,Carbon Metabolism
ecol_Glyoxylate,Eco,Energy Metabolism
ecol_Histidine,Eco,Amino Acid Metabolism
ecol_Hot TALE 16,Eco,Uncharacterized
ecol_Ile/Val,Eco,Amino Acid Metabolism
ecol_IS Elements-1,Eco,Uncharacterized
ecol_IS Elements-2,Eco,Uncharacterized
ecol_IS1,Eco,Uncharacterized
ecol_IS5,Eco,Uncharacterized
ecol_Isc System,Eco,Cofactor Metabolism
ecol_ldrA,Eco,Uncharacterized
ecol_ldrC,Eco,Uncharacterized
ecol_ldrD,Eco,Uncharacterized
ecol_Leu/Val/Ile,Eco,Amino Acid Metabolism
ecol_Leucine,Eco,Amino Acid Metabolism
ecol_LPS,Eco,Extracellular Structures
ecol_Lrp,Eco,Amino Acid Metabolism
ecol_lsrB KO,Eco,Quorum Sensing
ecol_Lysine/T2SS,Eco,Amino Acid Metabolism
ecol_Magnesium,Eco,Metal Homeostasis
ecol_malE OE,Eco,Carbon Metabolism
ecol_Maltose,Eco,Carbon Metabolism
ecol_Membrane,Eco,Envelope Stress
ecol_Methionine,Eco,Amino Acid Metabolism
ecol_Microaerobic,Eco,Energy Metabolism
ecol_minicoli KOs,Eco,Genome Reduction
ecol_Molybdenum,Eco,Metal Homeostasis
ecol_N Reduction,Eco,Energy Metabolism
ecol_NDH-1,Eco,Energy Metabolism
ecol_Nickel,Eco,Metal Homeostasis
ecol_Nickel/Cobalt,Eco,Metal Homeostasis
ecol_Nitrate/Nitrite,Eco,Nitrogen Metabolism
ecol_Nitrogen,Eco,Nitrogen Metabolism
ecol_NO Stress,Eco,Redox
ecol_nquinone ALE 3,Eco,Energy Metabolism
ecol_NrdR,Eco,Nucleotide Metabolism
ecol_NRZ,Eco,Energy Metabolism
ecol_NtrC-1,Eco,Nitrogen Metabolism
ecol_NtrC-2,Eco,Nitrogen Metabolism
ecol_NtrC-3,Eco,Nitrogen Metabolism
ecol_Nucleoside,Eco,Nucleotide Metabolism
ecol_Nucleotide Stress,Eco,DNA Damage
ecol_Osmoprotectant,Eco,Envelope Stress
ecol_Oxidoreductase,Eco,Redox
ecol_OxyR,Eco,Redox
ecol_PaaX,Eco,Carbon Metabolism
ecol_PAL 10 Del,Eco,Uncharacterized
ecol_PAL 26 Del,Eco,Uncharacterized
ecol_PAL Amp,Eco,Uncharacterized
ecol_pgi KO,Eco,Carbon Metabolism
ecol_Prophages,Eco,Prophages
ecol_Phosphate-1,Eco,Phosphate Metabolism
ecol_Phosphate-2,Eco,Phosphate Metabolism
ecol_PlaR,Eco,Carbon Metabolism
ecol_Potassium,Eco,Metal Homeostasis
ecol_ppGpp,Eco,Global Stress
ecol_Propionate,Eco,Carbon Metabolism
ecol_pts ALE,Eco,Energy Metabolism
ecol_pts KO,Eco,Carbon Metabolism
ecol_Purine,Eco,Nucleotide Metabolism
ecol_Putrescine,Eco,Nitrogen Metabolism
ecol_Pyrimidine,Eco,Nucleotide Metabolism
ecol_Pyruvate-1,Eco,Carbon Metabolism
ecol_Pyruvate-2,Eco,Carbon Metabolism
ecol_Quorum Sensing,Eco,Quorum Sensing
ecol_rcsB KO,Eco,Envelope Stress
ecol_Resistance,Eco,Envelope Stress
ecol_Rhamnose,Eco,Carbon Metabolism
ecol_Ribose,Eco,Carbon Metabolism
ecol_ROS TALE Amp,Eco,Uncharacterized
ecol_ROS TALE Del-1,Eco,Uncharacterized
ecol_ROS TALE Del-2,Eco,Uncharacterized
ecol_RpoE,Eco,Temperature Shock
ecol_RpoH,Eco,Temperature Shock
ecol_RpoS,Eco,Global Stress
ecol_Salicylic Acid,Eco,Redox
ecol_SCFA,Eco,Carbon Metabolism
ecol_sdh KO,Eco,Carbon Metabolism
ecol_Sialic Acid,Eco,Carbon Metabolism
ecol_Sorbitol,Eco,Carbon Metabolism
ecol_SSW SNPs,Eco,Redox
ecol_Suf System,Eco,ALE Effects
ecol_Sugar Diacid,Eco,Metal Homeostasis
ecol_Sulfate,Eco,Carbon Metabolism
ecol_Sulfoquinovose,Eco,Amino Acid Metabolism
ecol_Superoxide,Eco,Carbon Metabolism
ecol_Thiamine-1,Eco,Cofactor Metabolism
ecol_Thiamine-2,Eco,Cofactor Metabolism
ecol_Thr/Ser-1,Eco,Amino Acid Metabolism
ecol_Thr/Ser-2,Eco,Amino Acid Metabolism
ecol_thrA KO,Eco,Amino Acid Metabolism
ecol_tpiA KO,Eco,Carbon Metabolism
ecol_Translation,Eco,Translation
ecol_trxC Del,Eco,Uncharacterized
ecol_Tryptophan,Eco,Amino Acid Metabolism
ecol_Tryptophanase,Eco,Amino Acid Metabolism
ecol_Tyr/Trp/Phe,Eco,Amino Acid Metabolism
ecol_UC-1,Eco,Uncharacterized
ecol_UC-2,Eco,Uncharacterized
ecol_UC-3,Eco,Uncharacterized
ecol_UC-4,Eco,Uncharacterized
ecol_UC-5,Eco,Uncharacterized
ecol_UC-6,Eco,Uncharacterized
ecol_UC-7,Eco,Uncharacterized
ecol_UC-8,Eco,Uncharacterized
ecol_UC-9,Eco,Uncharacterized
ecol_Xylose,Eco,Carbon Metabolism
ecol_yafF,Eco,Uncharacterized
ecol_yceO,Eco,Uncharacterized
ecol_YcjW,Eco,Carbon Metabolism
ecol_ydaG,Eco,Uncharacterized
ecol_ydfB,Eco,Uncharacterized
ecol_ydfW,Eco,Uncharacterized
ecol_YgbI,Eco,Carbon Metabolism
ecol_ygdT,Eco,Uncharacterized
ecol_YgeV,Eco,Carbon Metabolism
ecol_YieP,Eco,Envelope Stress
ecol_YjfJ,Eco,Temperature Shock
ecol_yjjZ,Eco,Uncharacterized
ecol_ykgR,Eco,Uncharacterized
ecol_ymdG,Eco,Uncharacterized
ecol_YmfT,Eco,DNA Damage
ecol_ymgI,Eco,Uncharacterized
ecol_ymiB,Eco,Uncharacterized
ecol_yneP,Eco,Uncharacterized
ecol_yoaI,Eco,Uncharacterized
ecol_ypaB,Eco,Uncharacterized
ecol_ypjJ,Eco,Uncharacterized
ecol_yqhI,Eco,Uncharacterized
ecol_ythA,Eco,Uncharacterized
ecol_ytiC,Eco,Uncharacterized
ecol_Zinc-1,Eco,Metal Homeostasis
ecol_Zinc-2,Eco,Metal Homeostasis
mtub_ArgR,Mtu,Amino Acid Metabolism
mtub_BkaR,Mtu,Carbon Metabolism
mtub_Blal,Mtu,Antibiotic Resistance
mtub_Carbon Metabolism Metabolism,Mtu,Carbon Metabolism
mtub_DevR-1,Mtu,Redox
mtub_DevR-2,Mtu,Redox
mtub_EccE1 KO,Mtu,KO
mtub_EspL KO,Mtu,KO
mtub_FasR,Mtu,Fatty Acid Metabolism
mtub_Fatty Acid Biosynthesis,Mtu,Fatty Acid Metabolism
mtub_Fumarate Reductase,Mtu,Carbon Metabolism
mtub_GroEL-GroES Complex,Mtu,Amino Acid Metabolism
mtub_HPT-2b Induced,Mtu,Metal Homeostasis
mtub_IdeR,Mtu,Metal Homeostasis
mtub_IniR,Mtu,Antibiotic Resistance
mtub_KstR2,Mtu,Fatty Acid Metabolism
mtub_Leucine Related,Mtu,Amino Acid Metabolism
mtub_Lsr2,Mtu,Antibiotic Resistance
mtub_LysG,Mtu,Amino Acid Metabolism
mtub_M-box,Mtu,Metal Homeostasis
mtub_MarR,Mtu,Acid Stress
mtub_MbcA+Rv3249c+Rv3066,Mtu,Virulence/Persistence
mtub_Mce1R,Mtu,Virulence/Persistence
mtub_Mce3R,Mtu,Virulence/Persistence
mtub_MprA,Mtu,Virulence/Persistence
mtub_Mycofactocin Synthesis Pathway,Mtu,Fatty Acid Metabolism
mtub_Nicotinate Metabolism,Mtu,Carbon Metabolism
mtub_Nucleic Acid Hydrolysis ,Mtu,Nucleotide Metabolism
mtub_PDIM;PGL Synthesis,Mtu,Virulence/Persistence
mtub_Peptidoglycan Biosynthesis,Mtu,Carbon Metabolism
mtub_PhoP,Mtu,Virulence/Persistence
mtub_Polyketide Synthase Complex,Mtu,Fatty Acid Metabolism
mtub_Positive Regulation of Growth,Mtu,Development
mtub_PrpR,Mtu,Carbon Metabolism
mtub_PyrR,Mtu,Nucleotide Metabolism
mtub_RicR,Mtu,Metal Homeostasis
mtub_Rv0078+Rv2034,Mtu,Antibiotic Resistance
mtub_Rv0135+Rv1019,Mtu,Nucleotide Metabolism
mtub_Rv0576,Mtu,Virulence/Persistence
mtub_Rv0681,Mtu,Uncharacterized
mtub_Rv1776c+WhiB4,Mtu,Redox
mtub_Rv1828/SigH,Mtu,Redox
mtub_Rv2488c,Mtu,Virulence/Persistence
mtub_Rv2621c,Mtu,Uncharacterized
mtub_Rv3095,Mtu,Uncharacterized
mtub_Salicylate Induced,Mtu,Metal Homeostasis
mtub_SG_1,Mtu,Uncharacterized
mtub_SG_10,Mtu,Uncharacterized
mtub_SG_11,Mtu,Uncharacterized
mtub_SG_12,Mtu,Uncharacterized
mtub_SG_13,Mtu,Uncharacterized
mtub_SG_2,Mtu,Uncharacterized
mtub_SG_3,Mtu,Uncharacterized
mtub_SG_4,Mtu,Uncharacterized
mtub_SG_5,Mtu,Uncharacterized
mtub_SG_6,Mtu,Uncharacterized
mtub_SG_7,Mtu,Uncharacterized
mtub_SG_8,Mtu,Uncharacterized
mtub_SG_9,Mtu,Uncharacterized
mtub_SigC,Mtu,Virulence/Persistence
mtub_SigD,Mtu,Virulence/Persistence
mtub_SigH,Mtu,Virulence/Persistence
mtub_SigK,Mtu,Uncharacterized
mtub_Sulfur Metabolism,Mtu,Sulfur Metabolism
mtub_Unc_1,Mtu,Uncharacterized
mtub_Unc_2,Mtu,Uncharacterized
mtub_Unc_3,Mtu,Uncharacterized
mtub_Unc_4,Mtu,Uncharacterized
mtub_Unc_5,Mtu,Uncharacterized
mtub_Unc_6,Mtu,Uncharacterized
mtub_Unc_7,Mtu,Uncharacterized
mtub_Unc_8,Mtu,Uncharacterized
mtub_Unc_9,Mtu,Uncharacterized
mtub_VirS,Mtu,Redox
mtub_WhiB1,Mtu,Redox
mtub_WhiB4,Mtu,Redox
mtub_WhiB4/IdeR,Mtu,Redox
mtub_WhiB6,Mtu,Redox
mtub_WhiB7,Mtu,Antibiotic Resistance
mtub_Zur,Mtu,Metal Homeostasis
pae_AauR,Pae,Amino Acid Metabolism
pae_AcoR,Pae,Carbon Metabolism
pae_AHL,Pae,Quorum Sensing
pae_AmiE,Pae,Amino Acid Metabolism
pae_AmpC,Pae,Antibiotic Resistance
pae_AmrZ,Pae,Structural Components
pae_Anr-1,Pae,Metal Homeostasis
pae_Anr-2,Pae,Amino Acid Metabolism
pae_Anr-3,Pae,Amino Acid Metabolism
pae_Anr-4,Pae,Amino Acid Metabolism
pae_AntR,Pae,Misc Metabolism
pae_ArgR-1,Pae,Amino Acid Metabolism
pae_AtsR,Pae,Metal Homeostasis
pae_AtuR,Pae,Carbon Metabolism
pae_BexR,Pae,Misc Metabolism
pae_CbrB,Pae,Amino Acid Metabolism
pae_Cell Division,Pae,Structural Components
pae_CpxR,Pae,Antibiotic Resistance
pae_CueR,Pae,Metal Homeostasis
pae_CysB-1,Pae,Metal Homeostasis
pae_CysB-2,Pae,Metal Homeostasis
pae_CysB-3,Pae,Metal Homeostasis
pae_CzcR,Pae,Antibiotic Resistance
pae_DguR,Pae,Amino Acid Metabolism
pae_DhcR,Pae,Amino Acid Metabolism
pae_EatR,Pae,Amino Acid Metabolism
pae_ErbR-1,Pae,Amino Acid Metabolism
pae_ErbR-2,Pae,Misc Metabolism
