Experiment,sample_id,strain,benchling_strain_id,project,condition,notes,run,type,year,sequencing_run,LibraryLayout,Platform,R1,R2
SRR25592605,SRR25592605,Del14-4N24 DnybW PkasOP::nybF::zwf2,,azenta,DnybW PkasOP::nybF::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592605_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592605_R2.fastq.gz
SRR25592606,SRR25592606,Del14-4N24 DnybW PkasOP::nybF::zwf2,,azenta,DnybW PkasOP::nybF::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592606_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592606_R2.fastq.gz
SRR25592607,SRR25592607,Del14-4N24 DnybW PkasOP::nybF::zwf2,,azenta,DnybW PkasOP::nybF::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592607_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592607_R2.fastq.gz
SRR25592608,SRR25592608,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592608_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592608_R2.fastq.gz
SRR25592609,SRR25592609,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592609_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592609_R2.fastq.gz
SRR25592610,SRR25592610,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592610_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592610_R2.fastq.gz
SRR25592611,SRR25592611,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_46h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592611_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592611_R2.fastq.gz
SRR25592612,SRR25592612,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_46h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592612_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592612_R2.fastq.gz
SRR25592613,SRR25592613,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_46h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592613_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592613_R2.fastq.gz
SRR25592614,SRR25592614,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592614_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592614_R2.fastq.gz
SRR25592615,SRR25592615,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592615_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592615_R2.fastq.gz
SRR25592616,SRR25592616,Del14-4N24 PkasOP::nybF::zwf2,,azenta,PkasOP::nybF::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592616_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592616_R2.fastq.gz
SRR25592617,SRR25592617,Del14-4N24 PkasOP::zwf2,,azenta,PkasOP::zwf2_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592617_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592617_R2.fastq.gz
SRR25592618,SRR25592618,Del14-4N24 PkasOP::zwf2,,azenta,PkasOP::zwf2_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592618_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592618_R2.fastq.gz
SRR25592619,SRR25592619,Del14-4N24 PkasOP::zwf2,,azenta,PkasOP::zwf2_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592619_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592619_R2.fastq.gz
SRR25592620,SRR25592620,Del14-4N24 PkasOP::zwf2,,azenta,PkasOP::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592620_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592620_R2.fastq.gz
SRR25592621,SRR25592621,Del14-4N24 PkasOP::zwf2,,azenta,PkasOP::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592621_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592621_R2.fastq.gz
SRR25592622,SRR25592622,Del14-4N24 PkasOP::zwf2,,azenta,PkasOP::zwf2_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592622_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592622_R2.fastq.gz
SRR25592623,SRR25592623,Del14-4N24,,azenta,Del14-4N24_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592623_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592623_R2.fastq.gz
SRR25592624,SRR25592624,Del14-4N24,,azenta,Del14-4N24_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592624_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592624_R2.fastq.gz
SRR25592625,SRR25592625,Del14-4N24,,azenta,Del14-4N24_70h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592625_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592625_R2.fastq.gz
SRR25592626,SRR25592626,Del14-4N24,,azenta,Del14-4N24_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592626_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592626_R2.fastq.gz
SRR25592627,SRR25592627,Del14-4N24,,azenta,Del14-4N24_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592627_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592627_R2.fastq.gz
SRR25592628,SRR25592628,Del14-4N24,,azenta,Del14-4N24_12h,,,public,2023,PRJNA1003853,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592628_R1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/del14/SRR25592628_R2.fastq.gz
SRX10298353,gp_5h_control_1,J1074/R2,,azenta,gp_5h_control,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918880_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918880_2.fastq.gz
SRX10298354,gp_5h_control_2,J1074/R2,,azenta,gp_5h_control,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918881_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918881_2.fastq.gz
SRX10298355,gp_5h_control_3,J1074/R2,,azenta,gp_5h_control,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918882_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918882_2.fastq.gz
SRX10298356,pp_20h_control_1,J1074/R2,,azenta,pp_20h_control,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918883_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918883_2.fastq.gz
SRX10298357,pp_20h_control_2,J1074/R2,,azenta,pp_20h_control,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918884_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918884_2.fastq.gz
SRX10298358,pp_20h_control_3,J1074/R2,,azenta,pp_20h_control,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918885_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918885_2.fastq.gz
SRX10298359,gp_5h_1,J1074/R2,,azenta,gp_5h_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918886_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918886_2.fastq.gz
SRX10298360,gp_5h_2,J1074/R2,,azenta,gp_5h_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918887_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918887_2.fastq.gz
SRX10298361,gp_5h_3,J1074/R2,,azenta,gp_5h_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918888_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918888_2.fastq.gz
SRX10298362,pp_30h_1,J1074/R2,,azenta,pp_30h_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918889_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918889_2.fastq.gz
SRX10298363,pp_30h_2,J1074/R2,,azenta,pp_30h_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918890_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918890_2.fastq.gz
SRX10298364,pp_30h_3,J1074/R2,,azenta,pp_30h_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918891_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918891_2.fastq.gz
SRX10298365,gp_5h_bkdR_1,J1074/R2_Delta-bkdR,,azenta,gp_5h_bkdR_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918892_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918892_2.fastq.gz
SRX10298366,gp_5h_bkdR_2,J1074/R2_Delta-bkdR,,azenta,gp_5h_bkdR_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918893_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918893_2.fastq.gz
SRX10298367,gp_5h_bkdR_3,J1074/R2_Delta-bkdR,,azenta,gp_5h_bkdR_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918894_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918894_2.fastq.gz
SRX10298368,pp_30h_bkdR_1,J1074/R2_Delta-bkdR,,azenta,pp_30h_bkdR_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918895_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918895_2.fastq.gz
SRX10298369,pp_30h_bkdR_2,J1074/R2_Delta-bkdR,,azenta,pp_30h_bkdR_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918896_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918896_2.fastq.gz
SRX10298370,pp_30h_bkdR_3,J1074/R2_Delta-bkdR,,azenta,pp_30h_bkdR_L_valanine,,,public,2021,PRJNA708335,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/SRR13918897_1.fastq.gz,/home/nilmat/reads/streptsd/ready/external/SRR13918897_2.fastq.gz
ERX3196625,delPse-2day_p,DEL_pseB4,,azenta,delPse-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168677_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168677_2_trimmed.fastq.gz
ERX3196626,delPse-3day_p,DEL_pseB4,,azenta,delPse-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168678_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168678_2_trimmed.fastq.gz
ERX3196627,delPse-delG-2day_p,DEL_pseB4,,azenta,delPse-delG-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168679_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168679_2_trimmed.fastq.gz
ERX3196628,delPse-delG-3day_p,DEL_pseB4,,azenta,delPse-delG-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168680_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168680_2_trimmed.fastq.gz
ERX3196629,GI-2day_p,DEL_pseB4,,azenta,GI-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168681_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168681_2_trimmed.fastq.gz
ERX3196630,GI-3day_p,DEL_pseB4,,azenta,GI-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168682_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168682_2_trimmed.fastq.gz
ERX3196631,KE-2day_p,DEL_pseB4,,azenta,KE-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168683_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168683_2_trimmed.fastq.gz
ERX3196632,KE-3day_p,DEL_pseB4,,azenta,KE-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168684_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168684_2_trimmed.fastq.gz
ERX3196633,KE-GI-2day_p,DEL_pseB4,,azenta,KE-GI-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168685_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168685_2_trimmed.fastq.gz
ERX3196634,KE-GI-3day_p,DEL_pseB4,,azenta,KE-GI-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168686_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168686_2_trimmed.fastq.gz
ERX3196635,KE-GI-delG-2day_p,DEL_pseB4,,azenta,KE-GI-delG-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168687_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168687_2_trimmed.fastq.gz
ERX3196636,KE-GI-delG-3day_p,DEL_pseB4,,azenta,KE-GI-delG-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168688_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168688_2_trimmed.fastq.gz
ERX3196637,KE-PS-2day_p,DEL_pseB4,,azenta,KE-PS-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168689_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168689_2_trimmed.fastq.gz
ERX3196638,KE-PS-3day_p,DEL_pseB4,,azenta,KE-PS-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168690_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168690_2_trimmed.fastq.gz
ERX3196639,KE-PS-delG-2day_p,DEL_pseB4,,azenta,KE-PS-delG-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168691_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168691_2_trimmed.fastq.gz
ERX3196640,KE-PS-delG-3day_p,DEL_pseB4,,azenta,KE-PS-delG-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168692_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168692_2_trimmed.fastq.gz
ERX3196641,PS-2day_p,DEL_pseB4,,azenta,PS-2day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168693_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168693_2_trimmed.fastq.gz
ERX3196642,PS-3day_p,DEL_pseB4,,azenta,PS-3day_p,,,public,2019,PRJEB31345,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168694_1_trimmed.fastq.gz,/home/nilmat/reads/streptsd/ready/external/trimmed_ERX/ERR3168694_2_trimmed.fastq.gz